区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1179409G6027,パリペリドンパルミチン酸エステル,１７５ｍｇ１キット,,,,ゼプリオンＴＲＩ水懸筋注１７５ｍｇシリンジ,ヤンセンファーマ,,先発品,,62397,,
注射薬,1179409G7023,パリペリドンパルミチン酸エステル,２６３ｍｇ１キット,,,,ゼプリオンＴＲＩ水懸筋注２６３ｍｇシリンジ,ヤンセンファーマ,,先発品,,81676,,
注射薬,1179409G8020,パリペリドンパルミチン酸エステル,３５０ｍｇ１キット,,,,ゼプリオンＴＲＩ水懸筋注３５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,99067,,
注射薬,1179409G9026,パリペリドンパルミチン酸エステル,５２５ｍｇ１キット,,,,ゼプリオンＴＲＩ水懸筋注５２５ｍｇシリンジ,ヤンセンファーマ,,先発品,,129783,,
注射薬,1179410E1027,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用３００ｍｇ,大塚製薬,,先発品,,33580,,
注射薬,1179410E2023,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用４００ｍｇ,大塚製薬,,先発品,,41967,,
注射薬,1179410G1028,アリピプラゾール水和物,３００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用３００ｍｇシリンジ,大塚製薬,,先発品,,34008,,
注射薬,1179410G2024,アリピプラゾール水和物,４００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用４００ｍｇシリンジ,大塚製薬,,先発品,,40812,,
注射薬,1190401A1023,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,ラジカット注３０ｍｇ,田辺ファーマ,,先発品,○,1731,,
注射薬,1190401A1066,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＮＰ」,ニプロ,後発品,,,828,,
注射薬,1190401A1112,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「タカタ」,高田製薬,後発品,,,832,,
注射薬,1190401A1155,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,580,,
注射薬,1190401A1171,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ケミファ」,日本ケミファ,後発品,,,1350,,
注射薬,1190401A1201,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「日医工」,日医工,後発品,,,1227,,
注射薬,1190401A2020,エダラボン,３０ｍｇ２０ｍＬ１瓶,局,,,エダラボン点滴静注３０ｍｇ「トーワ」,東和薬品,後発品,,,806,,
注射薬,1190401G1026,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,ラジカット点滴静注バッグ３０ｍｇ,田辺ファーマ,,先発品,○,1731,,
注射薬,1190401G1042,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注３０ｍｇバッグ「アイロム」,ネオクリティケア製薬,後発品,,,1454,R9.3.31まで,
注射薬,1190401G1050,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注３０ｍｇバッグ「タカタ」,高田製薬,後発品,,,1463,,
注射薬,1190401G1069,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注液３０ｍｇバッグ「ＮＰ」,ニプロ,後発品,,,1143,,
注射薬,1190401G1131,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,1468,,
注射薬,1190402A1028,ナタリズマブ（遺伝子組換え）,３００ｍｇ１５ｍＬ１瓶,,,,タイサブリ点滴静注３００ｍｇ,バイオジェン・ジャパン,,先発品,,230345,,
注射薬,1190403A1022,ヌシネルセンナトリウム,１２ｍｇ５ｍＬ１瓶,,,,スピンラザ髄注１２ｍｇ,バイオジェン・ジャパン,,先発品,,9493024,,
注射薬,1190403A2029,ヌシネルセンナトリウム,２８ｍｇ５ｍＬ１瓶,,,,スピンラザ髄注２８ｍｇ,バイオジェン・ジャパン,,先発品,,9661483,,
注射薬,1190403A3025,ヌシネルセンナトリウム,５０ｍｇ５ｍＬ１瓶,,,,スピンラザ髄注５０ｍｇ,バイオジェン・ジャパン,,先発品,,9778481,,
注射薬,1190404G1020,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１筒,,,,エムガルティ皮下注１２０ｍｇシリンジ,日本イーライリリー,,先発品,,42284,,
注射薬,1190404G2026,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１キット,,,,エムガルティ皮下注１２０ｍｇオートインジェクター,日本イーライリリー,,先発品,,42400,,
注射薬,1190405G1024,オファツムマブ（遺伝子組換え）,２０ｍｇ０．４ｍＬ１キット,,,,ケシンプタ皮下注２０ｍｇペン,ノバルティス　ファーマ,,先発品,,230860,,
注射薬,1190406G1029,エレヌマブ（遺伝子組換え）,７０ｍｇ１ｍＬ１キット,,,,アイモビーグ皮下注７０ｍｇペン,アムジェン,,先発品,,38842,,
注射薬,1190407G1023,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１筒,,,,アジョビ皮下注２２５ｍｇシリンジ,大塚製薬,,先発品,,39022,,
注射薬,1190407G2020,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１キット,,,,アジョビ皮下注２２５ｍｇオートインジェクター,大塚製薬,,先発品,,38856,,
注射薬,1190408A1025,レカネマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１瓶,,,,レケンビ点滴静注２００ｍｇ,エーザイ,,先発品,,38910,,
注射薬,1190408A2021,レカネマブ（遺伝子組換え）,５００ｍｇ５ｍＬ１瓶,,,,レケンビ点滴静注５００ｍｇ,エーザイ,,先発品,,97277,,
注射薬,1190409A1020,ドナネマブ（遺伝子組換え）,３５０ｍｇ２０ｍＬ１瓶,,,,ケサンラ点滴静注液３５０ｍｇ,日本イーライリリー,,先発品,,66948,,
注射薬,1190410E1024,メコバラミン,２５ｍｇ１瓶,,,,ロゼバラミン筋注用２５ｍｇ,エーザイ,,先発品,,10425,,
注射薬,1190411A1027,トフェルセン,１００ｍｇ１５ｍＬ１瓶,,,,クアルソディ髄注１００ｍｇ,バイオジェン・ジャパン,,先発品,,2788883,,
注射薬,1211401A1017,プロカイン塩酸塩,０．５％１ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,94,,
注射薬,1211401A2013,プロカイン塩酸塩,０．５％２ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,94,,
注射薬,1211401A3010,プロカイン塩酸塩,０．５％５ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401A3060,プロカイン塩酸塩,０．５％５ｍＬ１管,局,,,プロカイン塩酸塩注射液０．５％「日医工」,日医工,,,,130,,
注射薬,1211401A4016,プロカイン塩酸塩,１％１ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401A5012,プロカイン塩酸塩,１％２ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401A6019,プロカイン塩酸塩,１％５ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401A7015,プロカイン塩酸塩,１％１０ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,94,,
注射薬,1211401A8011,プロカイン塩酸塩,２％１ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401A9018,プロカイン塩酸塩,２％２ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401H1015,プロカイン塩酸塩,２％５ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,104,,
注射薬,1211401H3018,プロカイン塩酸塩,０．５％１０ｍＬ１管,局,,,プロカイン塩酸塩注射液,,,,,130,,
注射薬,1214400A1022,リドカイン塩酸塩・アドレナリン,０．５％１０ｍＬバイアル,,,,キシロカイン注射液「０．５％」エピレナミン（１：１００，０００）含有,サンドファーマ,,,,118,,
注射薬,1214400A2029,リドカイン塩酸塩・アドレナリン,１％１０ｍＬバイアル,,,,キシロカイン注射液「１％」エピレナミン（１：１００，０００）含有,サンドファーマ,,,,119,,
注射薬,1214400A3025,リドカイン塩酸塩・アドレナリン,２％１０ｍＬバイアル,,,,キシロカイン注射液「２％」エピレナミン（１：８０，０００）含有,サンドファーマ,,,,153,,
注射薬,1214400A5052,リドカイン塩酸塩,０．５％５ｍＬ１管,,,,キシロカイン注ポリアンプ０．５％,サンドファーマ,,,,63,,
注射薬,1214400A5060,リドカイン塩酸塩,０．５％５ｍＬ１管,局,,,リドカイン塩酸塩注０．５％「日新」,日新製薬（山形）,後発品,,,104,,
注射薬,1214400A5087,リドカイン塩酸塩,０．５％５ｍＬ１管,,,,リドカイン塩酸塩注射液０．５％「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,後発品,,,100,,
注射薬,1214400A6059,リドカイン塩酸塩,０．５％１０ｍＬ１管,,,,キシロカイン注ポリアンプ０．５％,サンドファーマ,,,,91,,
