販売名,成分名,規格,判定,判定根拠,レビュー理由
グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＨＫ」,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ１ｍｇ／５０ｍＬ「ＮＩＧ」,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オンダンセトロン注射液４ｍｇ「サンド」,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オンダンセトロン注４ｍｇシリンジ「マルイシ」,オンダンセトロン塩酸塩水和物,４ｍｇ２ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ナゼア注射液０．３ｍｇ,ラモセトロン塩酸塩,０．３ｍｇ２ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アロキシ静注０．７５ｍｇ,パロノセトロン塩酸塩,０．７５ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
パロノセトロン静注０．７５ｍｇ／５ｍＬ「タイホウ」,パロノセトロン塩酸塩,０．７５ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
パロノセトロン静注０．７５ｍｇ／２ｍＬ「日医工」,パロノセトロン塩酸塩,０．７５ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アロキシ点滴静注バッグ０．７５ｍｇ,パロノセトロン塩酸塩,０．７５ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
パロノセトロン点滴静注バッグ０．７５ｍｇ／５０ｍＬ「タイホウ」,パロノセトロン塩酸塩,０．７５ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
